0,0,0,1
0,0,0,3
0,10,1,0
0,10,1,2
0,10,1,4
0,11,2,1
0,11,2,5
0,12,3,0
0,3,3,4
0,12,3,6
0,4,4,1
0,13,4,3
0,4,4,5
0,4,4,7
0,14,5,2
0,5,5,4
0,14,5,8
0,6,6,3
0,6,6,7
0,16,7,4
0,16,7,6
0,7,7,8
0,8,8,5
0,17,8,7
1,12,0,1
1,9,0,3
1,11,1,0
1,1,1,2
1,0,1,4
1,14,2,1
1,10,2,5
1,6,3,0
1,6,3,4
1,0,3,6
1,3,4,1
1,5,4,3
1,3,4,5
1,3,4,7
1,5,5,2
1,8,5,4
1,5,5,8
1,15,6,3
1,12,6,7
1,7,7,4
1,17,7,6
1,6,7,8
1,17,8,5
1,14,8,7
2,6,0,1
2,10,0,3
2,14,1,0
2,0,1,2
2,12,1,4
2,5,2,1
2,2,2,5
2,13,3,0
2,15,3,4
2,9,3,6
2,7,4,1
2,7,4,3
2,16,4,5
2,13,4,7
2,8,5,2
2,17,5,4
2,11,5,8
2,16,6,3
2,15,6,7
2,14,7,4
2,7,7,6
2,16,7,8
2,6,8,5
2,8,8,7
3,9,0,1
3,14,0,3
3,1,1,0
3,6,1,2
3,1,1,4
3,8,2,1
3,0,2,5
3,15,3,0
3,9,3,4
3,10,3,6
3,17,4,1
3,4,4,3
3,12,4,5
3,10,4,7
3,3,5,2
3,11,5,4
3,2,5,8
3,17,6,3
3,9,6,7
3,8,7,6
3,13,7,8
3,7,8,5
3,11,8,7
4,15,0,1
4,1,0,3
4,7,1,0
4,7,1,2
4,2,2,1
4,1,2,5
4,16,3,0
4,14,3,6
4,13,4,1
4,11,4,3
4,15,4,5
4,5,4,7
4,4,5,2
4,2,5,4
4,0,5,8
4,8,6,3
4,0,6,7
4,3,7,6
4,9,7,8
4,13,8,5
4,2,8,7
5,16,0,1
5,5,1,0
5,13,1,2
5,8,3,0
5,5,3,6
5,2,4,3
5,9,4,5
5,1,4,7
5,15,5,2
5,15,5,8
5,2,7,6
5,4,7,8
6,2,1,0
6,16,1,2
6,4,3,0
6,1,3,6
6,12,5,2
6,12,5,8
6,11,7,6
6,1,7,8
7,3,1,0
7,9,1,2
7,17,3,0
7,4,3,6
7,17,5,2
7,3,5,8
7,13,7,6
7,10,7,8
0,18,0,1
0,9,0,3
0,1,1,0
0,1,1,2
0,1,1,4
0,2,2,1
0,2,2,5
0,21,3,0
0,12,3,4
0,21,3,6
0,4,4,1
0,22,4,3
0,4,4,5
0,4,4,7
0,23,5,2
0,5,5,4
0,23,5,8
0,24,6,3
0,15,6,7
0,16,7,4
0,16,7,6
0,7,7,8
0,26,8,5
0,17,8,7
8,21,0,1
8,18,0,3
8,4,1,0
8,4,1,2
8,19,1,4
8,11,2,1
8,11,2,5
8,12,3,0
