0,0,0,1
0,0,0,3
0,1,1,0
0,10,1,2
0,1,1,4
0,2,2,1
0,2,2,5
0,3,3,0
0,3,3,4
0,3,3,6
0,13,4,1
0,13,4,3
0,13,4,5
0,4,4,7
0,14,5,2
0,14,5,4
0,14,5,8
0,6,6,3
0,15,6,7
0,7,7,4
0,7,7,6
0,16,7,8
0,17,8,5
0,8,8,7
1111.61,3,0,1
1111.61,9,0,3
1111.61,10,1,0
1111.61,1,1,2
1111.61,2,1,4
1111.61,11,2,1
1111.61,11,2,5
1111.61,6,3,0
1111.61,6,3,4
1111.61,0,3,6
1111.61,7,4,1
1111.61,4,4,3
1111.61,3,4,5
1111.61,13,4,7
1111.61,17,5,2
1111.61,5,5,4
1111.61,2,5,8
1111.61,7,6,3
1111.61,3,6,7
1111.61,16,7,4
1111.61,4,7,6
1111.61,7,7,8
1111.61,16,8,5
1111.61,17,8,7
2223.22,6,0,1
2223.22,10,0,3
2223.22,2,1,0
2223.22,13,1,2
2223.22,10,1,4
2223.22,17,2,1
2223.22,1,2,5
2223.22,4,3,0
2223.22,9,3,4
2223.22,13,3,6
2223.22,4,4,1
2223.22,16,4,3
2223.22,4,4,5
2223.22,6,4,7
2223.22,16,5,2
2223.22,17,5,4
2223.22,5,5,8
2223.22,15,6,3
2223.22,0,6,7
2223.22,8,7,4
2223.22,16,7,6
2223.22,15,7,8
2223.22,8,8,5
2223.22,14,8,7
3334.83,9,0,1
3334.83,2,0,3
3334.83,13,1,0
3334.83,4,1,2
3334.83,0,1,4
3334.83,14,2,1
3334.83,10,2,5
3334.83,15,3,0
3334.83,15,3,4
3334.83,9,3,6
3334.83,8,4,1
3334.83,17,4,3
3334.83,6,4,5
3334.83,1,4,7
3334.83,5,5,2
3334.83,11,5,4
3334.83,13,5,8
3334.83,17,7,6
3334.83,3,7,8
3334.83,15,8,5
3334.83,5,8,7
4446.44,15,0,1
4446.44,1,0,3
4446.44,14,1,0
4446.44,0,1,2
4446.44,5,2,1
4446.44,12,3,0
4446.44,12,3,4
4446.44,2,3,6
4446.44,16,4,1
4446.44,8,4,3
4446.44,7,4,5
4446.44,2,4,7
4446.44,15,5,2
4446.44,10,5,8
4446.44,9,6,7
4446.44,5,7,6
4446.44,1,7,8
5558.06,12,0,1
5558.06,14,0,3
5558.06,17,1,0
5558.06,6,1,2
5558.06,0,2,5
5558.06,8,3,0
5558.06,8,3,6
5558.06,11,4,3
5558.06,9,4,5
5558.06,12,4,7
5558.06,8,5,2
5558.06,4,5,8
5558.06,5,6,3
5558.06,1,7,6
5558.06,0,7,8
5558.06,10,8,7
6669.67,5,1,0
6669.67,12,1,2
6669.67,11,3,0
6669.67,10,3,6
6669.67,12,4,5
6669.67,11,4,7
6669.67,9,5,2
6669.67,11,5,8
6669.67,12,7,6
6669.67,6,7,8
7781.28,7,1,0
7781.28,7,1,2
7781.28,16,3,0
7781.28,14,3,6
7781.28,3,5,2
7781.28,9,5,8
7781.28,11,7,6
7781.28,12,7,8
